servicio,reserva
73268,76019
17401,162839
11455,381721
130666,89964
197274,311785
16426,284995
183506,294077
8170,328771
177838,295341
175855,62864
26632,273904
130696,56569
49932,89728
71739,265765
109621,317692
174571,18748
135572,83479
140831,93703
3047,290942
191475,22348
76013,58738
145165,398575
111928,6749
195906,163375
90915,6144
93540,341165
31989,202623
67379,96149
68016,156743
96009,351781
131663,382540
64778,263998
69450,172216
12103,397226
156590,113597
90543,46602
92062,241970
158503,281279
43719,365944
144084,62150
39933,323648
18974,180072
117301,248262
191567,57568
183571,84990
66008,216806
127975,347456
189803,120121
83883,36745
189734,35335
168112,205155
179991,52842
118599,345217
161865,245153
155577,259178
144671,314895
162532,181022
89533,205536
95373,176892
4569,363694
128691,91724
94886,359336
131340,76897
12424,76795
173962,218352
181626,344011
100042,206119
152868,389236
160512,167185
147231,275200
35926,396804
105795,392994
3890,371070
154053,293041
14994,329013
46027,152821
123436,38247
132798,319399
189668,354336
133062,5751
45367,124796
121193,167398
133390,268210
83560,180333
158195,293247
168096,310701
160774,28983
53722,336036
98345,150638
18801,374593
128932,252494
25593,101574
73074,314944
60353,350635
133155,202219
11033,186207
150591,224106
104555,243741
190386,332408
193831,317356
23897,135068
15405,18848
192667,275103
92278,164881
68601,48112
131404,344417
154693,332079
78142,305615
149941,378378
31059,348494
150834,383022
95856,37749
128365,301938
137479,346854
6296,298967
22092,288372
76833,203707
80677,144570
98581,340964
68452,53508
32115,247448
113525,393282
169326,399281
16203,10706
66485,392972
93066,25401
195833,291474
34357,195135
79679,13056
6458,316206
46366,104927
80267,2369
84838,20844
35191,184135
107442,116074
55102,312163
107973,87180
2722,121141
23797,385083
26098,24918
2597,38539
73526,169671
88899,327843
145050,139625
77215,62227
149807,148940
73774,137790
31159,118261
38572,210078
52280,283735
87358,266980
103295,282755
108490,113029
70343,248027
16114,349214
146373,1085
138951,18212
44675,48711
156951,370729
77701,360952
94124,384594
53275,163996
58169,392676
111732,353321
191421,185452
99552,105680
27995,228077
7510,221411
58366,393053
166090,7048
449,212756
106611,99919
190344,282844
35029,191395
102379,113140
33895,155475
96135,372735
50909,101715
13275,34247
199679,97419
159658,22141
35466,300242
27894,66254
157042,96740
193194,355186
180906,313421
64876,390804
114461,256032
66616,61743
26434,70966
135931,126690
38176,324135
22380,12887
68589,364239
140921,55955
182416,173669
75671,320201
117063,165458
155068,398773
169052,307888
115880,90010
52712,194906
129985,360950
155744,369458
126086,81157
129190,195451
148507,274849
186946,388122
70226,26578
79040,348745
181087,104827
139902,123299
181292,355937
93141,271416
8160,374655
65246,266214
15603,265939
69254,193954
69744,295635
128348,200240
75442,142360
75645,308678
196727,69113
135173,70597
95727,52647
94748,272901
184484,281127
186356,205410
44859,178642
24300,74009
19613,333185
70625,258641
119074,383560
90889,233414
25858,58556
129356,276070
145008,278715
131508,82481
183848,249790
47130,122919
97913,364631
4734,304275
38463,57768
70101,379018
104740,96903
167985,205534
15532,345601
94397,87944
31602,15853
68279,169283
176999,16716
95270,278349
167555,45494
86138,119439
19350,104978
98966,208970
119933,388
16938,187269
135363,182088
180254,342462
28105,322945
186198,2896
91137,245108
63128,6493
85876,139926
109436,224428
170026,342346
176947,362156
197355,100371
173410,309458
193055,5414
48324,245476
198089,151136
31027,53009
144960,185588
197389,375101
168150,7910
47573,120924
113690,189987
48340,142878
88116,93053
190474,147220
24501,128597
31226,46157
137770,382123
166892,155359
146744,303390
90612,317441
103498,326351
9246,177471
20174,174277
117585,364590
85906,193587
85909,73853
99241,33793
178355,155504
110110,278870
33910,291766
142898,374815
133212,105875
63456,124300
168996,84063
152150,166904
130078,125373
196428,377417
160818,346754
179246,186130
142953,2800
198908,254827
197218,171843
199396,40411
82535,10787
152085,196045
186592,99771
185794,115200
16045,86435
120330,233737
105849,60760
119302,41894
68202,351988
195363,268236
50623,66213
29066,186031
116207,162580
186488,331899
7648,176208
81956,157600
163598,2548
27875,271628
149578,284179
48529,95912
142563,218242
127917,251775
57520,364750
67949,347022
161648,389619
18808,129898
142201,388836
72217,2438
68884,22448
64345,192229
76071,44743
43954,375403
169262,95026
38008,57617
188206,132520
82229,100291
48059,276250
107994,287940
71667,376641
103772,186228
156352,116523
8435,245342
41189,187635
157358,285567
94192,358752
35863,274493
57852,149164
136707,342612
196644,327206
25436,376842
34957,354518
69213,88993
109113,152117
137993,81992
130032,291258
135379,323609
269,111806
120658,82068
59978,154503
160655,386840
194281,145164
141633,63966
14004,364995
90083,242737
87909,154383
194621,241193
48017,98040
109249,259922
117723,390427
109907,179263
41360,118272
187996,339633
18196,350463
160287,132894
177072,321930
196651,315671
155465,12476
157356,63531
450,245393
93065,89847
12678,151777
165918,148420
85365,48634
93222,209857
140309,157592
57883,209515
90324,258044
99767,125779
162116,363484
155779,105052
74971,45065
151102,126559
98478,208073
94748,313382
119275,339552
114708,113952
103278,328374
62755,99675
7885,232128
93827,362969
87523,204093
186442,193354
145258,10964
80570,142224
116866,320338
149996,81399
160527,363989
66799,5695
117333,328133
43543,263206
47286,15702
84506,21912
12943,325764
51076,169555
136965,52792
174666,223655
28641,89198
127390,222180
52041,386857
10060,19564
71605,249734
18554,111673
93991,168931
63626,159249
119069,190365
74688,383782
92254,325248
173876,24735
194978,218620
192639,247880
98995,345888
117528,31103
12090,287109
124434,187267
5815,335699
54648,63225
88714,31882
79855,347471
32082,172685
14433,242860
148761,134340
111040,224920
161671,391352
34789,335039
178267,276059
72367,72358
103219,344504
91591,35502
147871,297425
141490,306608
148713,146664
162154,24214
51607,215738
89833,330001
155040,307283
58822,136822
25053,189691
25522,76683
67289,245771
29920,368803
7653,283391
133849,97910
56142,43764
32813,56135
181119,399352
80840,55748
55044,6321
123866,207400
11233,164312
95125,291709
119785,180242
78248,222901
45176,64746
75195,100290
159829,215161
89053,140008
87616,85878
19922,362823
106193,159763
39436,90729
99608,237943
23148,306105
67564,323072
14822,104007
46875,299151
177890,359024
52382,174198
37255,11610
194864,228911
57395,268138
121676,378347
186194,46721
70606,121699
25573,260420
139922,218751
191584,97652
40216,48445
110092,336564
26804,340995
129283,255495
60361,99771
199575,22802
13747,94524
124000,69757
52560,80951
60723,117547
64777,181908
146430,141604
173556,140086
78965,99160
13085,129132
156193,65692
85100,100701
15048,22729
23004,195539
118304,28778
30841,162723
30958,219593
177218,242725
51288,73586
122972,263957
13164,143200
131673,111297
3991,42829
119219,259755
158318,149058
155704,77312
166980,212674
198898,202909
143018,131105
73630,166050
101560,234537
174066,215989
97208,18773
185854,207578
129519,191372
52276,167335
166335,46005
47261,99959
142003,92662
27832,18370
71562,117054
118773,186796
59382,157906
75211,355723
176647,23865
111903,49124
17897,331623
59561,36850
5258,40012
92173,161177
18773,59744
196255,275145
120002,390260
52680,83478
169714,184905
198124,372661
135130,110733
54218,157873
174584,236393
39850,254207
30667,141778
103264,154734
91587,334946
162828,330524
25198,239118
8447,208469
68118,195572
27732,323503
70213,269579
40968,26399
63548,397275
171639,217411
87935,169378
8484,234654
196351,139423
154193,222213
82064,119125
66933,211979
10471,362591
11694,243382
87608,399021
139711,186444
55803,252384
146307,6873
53263,75886
45414,137526
79345,197234
148596,297844
33726,22451
32110,41173
83343,118448
67755,263360
63483,248720
85512,3474
144740,219053
43409,397674
169004,15078
186361,140568
175104,38800
185009,333600
61418,283619
155745,395517
153003,211840
118277,286802
159324,361176
114815,334238
9381,305154
14468,2676
137904,392248
76728,56000
49504,73655
30537,389384
12192,41896
46118,342539
9753,88063
189747,159105
156815,270793
61982,86346
44315,94464
174672,207133
96614,138477
16961,183535
37324,82675
64206,67660
88977,248933
28743,306012
123766,4948
181395,128679
189640,237354
24608,88603
199998,34729
123885,168630
59248,261043
90666,303526
8411,40027
51385,49906
64320,229220
30802,105794
150087,151390
15085,167422
107733,92622
50552,362525
84346,176286
63948,178235
83534,380151
88499,164946
57393,219326
117385,362250
46191,338094
172405,45964
195242,2310
130061,312614
61514,14830
8188,323032
95462,307723
108501,208218
97503,64446
107112,297319
183496,327945
168241,241714
186283,232620
88623,202367
180179,378650
136184,194471
129791,55195
14878,37580
29352,359767
79027,345740
25413,236864
21539,396361
140047,203563
96913,203397
147940,396207
178540,230030
180230,385329
166093,300361
72006,354297
125797,362461
180877,128476
195716,121852
47279,259992
156708,320327
15667,386463
19581,375842
76971,207605
8442,55193
143585,105410
76752,213739
139400,180576
47292,79851
186666,227150
11009,139595
72084,305573
26864,121937
152282,396293
168948,386750
189633,82735
46424,236900
47824,345746
163039,122705
123794,294976
131327,131104
184230,245479
10886,34117
148649,258619
101104,399482
102949,24144
14729,222998
59630,148304
119824,217547
178530,52218
170074,126715
53460,347135
58061,212512
73104,263885
73976,184326
19822,286032
158410,194979
43635,144489
37639,17580
92857,156246
52619,209639
195556,78984
112905,399045
53922,184340
68889,112395
163059,10911
151800,140515
175881,72962
1909,374215
129178,344268
137596,97443
22486,216274
52927,240894
47176,46839
174489,105447
132279,274721
39310,391903
70653,89404
9755,715
36490,92152
3340,165156
60022,142951
81488,163372
5013,249340
151170,231893
130934,105142
71782,20117
144733,361442
61870,319571
95295,305213
77084,220613
76010,370904
74866,89017
179131,63052
24128,212045
70311,155724
89214,86631
68422,141157
51399,159969
180453,4159
137728,303756
33298,86279
124895,356352
79022,213030
74824,121618
137724,142214
48287,388418
110265,150377
49227,337439
90205,37018
138690,120306
195551,148908
186488,61526
194138,75639
154527,292955
139462,81030
45038,327056
99857,301488
62573,42175
66853,208719
70022,181155
192278,278694
35028,152021
9417,40946
45585,381672
194243,142159
4008,293138
128000,334273
66960,92998
32102,249191
146383,370041
62309,63991
190723,66676
63369,128141
7023,22938
163589,249830
65691,209531
87572,71415
84809,87479
34496,130112
198353,128824
128341,277807
10368,205534
60237,259052
61501,202634
66103,181947
193679,204277
40182,186690
77485,76268
196282,290635
8084,307704
145759,301920
55670,124087
82681,247326
102679,922
148762,144322
72697,29056
182152,51743
145486,178060
159674,272215
159725,17379
136279,177459
192822,234299
151249,231529
12126,239721
61095,68347
123779,230641
148813,385636
42797,161559
161534,7027
121546,332749
116091,391904
177267,368197
140162,353940
103871,140810
44592,338943
150842,388041
48371,131847
3371,331416
13344,147056
25678,256644
190696,385349
66810,384514
59443,199179
39368,285004
168178,310126
98803,266664
2149,294965
153306,244340
72482,1345
129115,243256
152884,314541
144984,336907
28092,286089
181409,119823
22273,295981
97597,246907
67418,100230
123233,65737
98553,213326
102810,142080
36300,140243
118167,148583
153839,227900
13010,214649
37230,278801
158904,232012
39853,328072
90419,225539
41742,102972
39113,116648
94030,170172
140125,382909
133949,53318
127504,58812
186226,342277
133910,249830
150843,87771
110626,162163
67677,62688
11243,244151
197721,39243
78367,137198
189743,241340
88459,166710
28692,365771
118905,283660
94063,1651
32208,387190
58101,140122
91520,74010
190731,178177
101032,351783
6771,107730
123996,65329
138024,288762
142373,150749
198871,139885
79035,259286
15456,222304
127889,10807
160741,371576
179306,68274
182425,63132
173195,386817
110097,117503
168719,346325
19277,37058
14574,229093
177948,335756
184102,127097
146001,314055
2553,182131
79622,290701
145213,10816
171097,228793
139373,287251
60010,377127
62919,395574
19246,398682
51926,89834
72841,75043
95050,35412
142881,307615
168847,184206
194253,290247
199315,267510
80956,103847
187714,313788
155639,346643
186178,37276
197912,389855
146894,345430
95582,9454
186800,312795
90894,137802
173766,45619
24320,264823
122118,100993
129454,229420
19179,113971
185162,210199
177540,3036
159445,255064
129494,166428
27394,230647
140513,388736
91016,289148
178592,18299
175853,72627
120656,326548
184755,229216
8825,153892
96331,274742
89678,181478
136559,247572
194804,304374
177125,141206
164022,242495
599,166997
183558,355322
177646,293286
185299,10331
182692,315479
172702,367693
188333,207540
186981,192007
24632,83300
24882,140103
96085,95040
185009,390071
158900,65465
18183,104368
47640,218517
174961,385698
158265,343709
38308,315593
61930,357429
175496,384160
77144,124854
158990,333749
198404,11326
53554,17176
185294,80192
198543,98984
155241,95142
104421,75774
167073,66271
126261,313745
116219,79659
199629,52826
169695,396673
23471,43711
98213,74986
53223,162378
96569,231944
121659,198775
95602,9211
939,88045
29996,385784
47088,195973
78688,362368
187865,116776
179745,344289
18486,326030
21299,268907
96345,377163
3985,299081
189152,377280
120817,44142
71775,59279
191424,8902
174860,103231
30837,330093
190359,45359
84892,199810
58001,219305
39039,74210
138048,30531
74871,363595
135151,269243
131953,240774
166853,103618
50718,159635
14322,201647
177840,337888
81196,170533
3865,334232
169420,354372
34100,7043
152250,285125
34018,175018
908,324960
163670,104315
50222,151063
36490,236751
175806,227790
191676,82661
124314,122958
12468,296682
67847,342255
8862,25777
34878,38503
158260,26735
61951,299776
90081,139233
186748,344236
162649,60577
186179,181458
166960,17481
57443,346815
85212,196519
114945,286855
10565,113278
28142,262900
97987,374238
87627,382100
185019,365081
82007,56821
152391,345803
68571,69867
116093,393448
145133,142329
190844,325606
190837,206370
86339,294533
103128,196152
194271,141669
113574,64458
20400,227527
159669,79689
133529,104916
187628,117212
191987,95012
178041,5030
110498,211222
99453,380789
134963,231091
5731,202531
77125,15537
163372,26166
152607,303471
70116,322657
196435,293480
3741,357705
110314,279777
195955,8738
70317,310656
5475,206949
125384,290064
66907,8796
74855,204422
97348,362326
188885,256761
143713,52246
67185,270501
168002,385882
100914,217316
73171,309390
7704,179701
44351,208715
132959,309651
32428,348114
179066,366658
158944,240859
31359,212987
5973,386330
106112,294860
126160,392051
145418,113574
140637,351203
77457,155738
50503,347801
131657,346409
31293,148114
190636,254983
190726,249826
151857,327511
5154,328612
57836,257141
24824,179437
157277,292344
191134,276067
88866,71090
189025,164835
21649,49236
13290,298920
96599,200162
126214,10013
143536,332358
183686,8916
152368,293630
108601,137222
100891,362800
185429,255504
156556,97249
16414,338637
38321,362615
57230,344170
124320,236090
100040,97670
173925,295900
134484,307352
162100,90557
100668,373084
11737,399370
58739,210644
185784,17572
59316,48999
99663,332109
148271,245147
125305,347606
45277,49439
94161,242461
199054,74505
67775,264351
39035,124922
106292,215609
67487,343766
35792,63657
42014,144265
168735,362706
152412,391728
163213,236110
36377,188293
173017,373245
180260,238369
140871,370877
108203,277037
14400,95218
2053,375759
34391,376183
51592,50213
5992,189804
102104,54698
4696,11612
47201,326215
157793,307318
190284,316526
181507,242776
85260,211904
171607,146520
70744,46800
68045,81044
101666,48699
91611,8837
17421,104834
3013,258191
186933,87845
22822,355503
48744,111075
30339,333067
185471,172375
171911,86417
16140,352490
138529,149489
165423,228193
150273,22752
18257,337934
177088,42411
136902,380475
169428,42050
138736,58465
19937,369615
33870,159327
66933,279726
49,177808
170235,332556
171678,193403
126150,247081
129991,243639
140015,211492
139768,386000
148587,181040
162999,118095
120659,366604
62436,148239
135260,359745
176442,39181
175899,66907
33370,39874
177403,326147
189172,36403
91780,75980
3269,269668
85388,342533
51002,392836
73512,49118
157412,73940
43317,99355
113840,58000
198157,241105
2533,384797
193776,361149
28437,117632
14465,392517
128736,207135
180552,64419
138110,136338
162601,24575
23163,310010
54962,387779
191523,280693
1830,291998
55731,379159
110905,10522
11479,286856
60430,249003
152743,108960
50947,267953
20757,256696
115263,363885
32087,58235
161780,7161
53977,144308
71132,254958
162715,333716
101967,166020
160943,189628
129479,396119
124272,92004
115479,72130
73580,396327
182433,248092
159468,148859
138515,94541
6837,365211
176054,350138
122729,348322
39750,150601
36977,173848
123450,69043
101751,48031
78511,161922
94695,365199
124861,353626
38894,20158
166336,113011
61261,58338
178298,196258
3901,47117
104343,116916
186769,345939
166710,149425
136099,16290
98279,240116
83029,227878
87713,326131
85828,334135
156605,212727
166910,67018
18285,107644
8491,57019
119909,192418
170412,46924
128509,214272
153294,198056
97556,226014
173335,174290
162781,124495
72391,135567
74754,374257
30450,121901
109202,212022
123855,42238
29632,281561
24061,71768
109117,22943
67207,346519
66383,277811
85025,190885
192465,110920
130837,192393
198432,175052
56368,394298
45899,195816
5889,286205
62704,322370
120464,247853
162724,8849
65725,279596
158642,165028
73192,199257
5791,396704
9905,353659
60478,213458
102576,16287
89515,278111
83743,10080
8044,300807
189419,225971
119750,208462
130882,210349
193803,271444
144278,355781
125763,194515
149932,320119
146784,307775
157812,335711
57014,345789
19029,305702
45031,315986
9758,171366
113798,352156
131202,292090
46538,202756
7541,201058
25797,241358
191836,107454
92708,99229
17273,325513
129354,241931
10905,285705
101526,394175
8893,263958
149512,185431
94486,373700
61090,344296
28261,121055
69252,81988
32775,310019
108476,201520
198342,317480
36398,190968
4584,284422
15322,184525
141953,110267
80318,354593
49375,156962
65450,125469
113596,213907
151490,20637
33815,158937
149263,177687
97312,54569
53508,213331
198491,49049
75067,184988
158565,378463
57343,366246
190753,317072
81012,125713
31095,224359
138070,214906
150715,296122
191190,187650
113635,138346
2008,366509
147613,398875
106590,237321
1074,130871
152630,210706
34660,275175
37427,98142
159450,74318
23354,69584
107880,105258
49344,16584
33577,297408
125966,121403
130439,128477
81463,281986
20068,78025
177454,65258
120857,274727
29873,399418
127776,211078
199903,358336
114591,202894
5810,227673
177125,152870
144563,65477
136584,256362
90289,332807
19154,372052
113022,224487
161486,202033
174624,45737
176710,385034
148181,113979
128609,3975
56944,176559
69396,256247
189140,267773
89518,95129
51340,160870
90776,167023
137481,316967
107097,61078
90508,337806
60105,154097
11543,50511
111594,266297
20320,5231
125057,172347
178422,121078
141804,253599
177918,341578
142770,168342
77812,149690
174031,274858
188915,99087
56638,375754
161101,97005
179814,260626
145574,329081
4848,120848
18889,222197
64835,256993
151938,295488
171184,206723
88269,12795
28558,249298
125356,302730
141758,326312
172551,120283
151477,263010
149095,352104
148292,72516
140806,186848
59316,9463
133342,172474
99559,354641
157101,273025
112195,69066
38096,232759
35534,217862
129343,211543
100168,60173
112791,114278
93512,32131
192397,234131
195898,60820
61822,363019
96489,192362
167000,173725
43481,100773
134421,395186
20558,362577
17450,340538
145810,361059
171998,42828
140080,283150
9211,181324
129092,344384
12687,291583
80465,24596
106224,338805
55818,244890
21179,84429
110637,200473
148932,232395
80887,385076
66815,13960
120706,396017
88745,352948
110389,10032
149067,152622
176492,40381
105944,58465
94219,127047
132549,7169
98009,362858
123864,460
151612,43613
168457,215625
86375,158302
184381,180815
33314,76605
193249,17955
118154,255794
151957,258840
31827,303786
5688,192558
90444,29762
124076,297085
12150,398138
157101,325983
54654,140298
58588,202001
95804,388724
16469,279232
109141,228933
11198,317146
162158,390647
46131,253974
169851,29416
166328,71655
81543,249657
21907,105818
184430,67995
66204,288309
15184,40313
913,33018
65441,384755
84755,351465
185571,19739
58143,244650
3540,365026
104504,322785
177294,84980
108961,68286
78582,11837
142156,51654
50848,267686
129951,176559
159923,100001
58184,27391
12877,93920
64663,161526
156691,69713
15350,106316
51219,54058
26469,100234
131715,399796
170831,60685
152338,396323
78749,152755
163073,201856
129785,88227
50983,106324
172862,354913
90822,254895
66294,218179
103891,13430
183458,269536
79294,333332
173480,25490
50143,64119
28720,256072
71042,266421
132917,292565
193481,169094
23534,172922
72646,291876
30205,383728
150845,30623
168359,199094
174899,43734
73763,165834
26428,277656
129777,191834
26576,333471
191739,349099
42485,183234
191060,308569
102269,223195
110629,156305
156498,306100
139852,324869
71804,43669
194238,338661
163813,82735
49569,62333
127195,238431
54745,244502
124692,29269
62036,308603
58588,270947
177950,353531
108076,391351
102517,257260
96138,396230
192182,151989
65133,239816
83883,271823
12686,389677
156429,278638
10313,360184
157658,111729
136289,46817
77254,161234
113756,248548
149662,217958
109839,3698
93589,104679
114910,310766
156341,386356
62544,321501
36652,306860
121440,298905
92981,201175
187694,199446
94691,377089
73566,252932
118965,80911
176184,66858
189802,186641
1186,47456
67279,398457
12324,323026
193697,43282
17934,173467
131015,167697
47288,167506
196785,133309
36009,253306
70804,193240
102689,373368
79200,69365
131731,202204
113367,221998
186826,319002
67157,124887
3097,88631
59673,64681
27946,358434
101920,33440
129871,139250
195671,215131
40824,338234
106099,33283
166296,338246
9262,364456
180233,46161
60774,355963
32363,317797
36386,49077
124180,317557
102039,126031
185840,328579
161994,218900
43043,362354
105715,374385
64685,243174
13868,359508
92442,16730
16464,124296
8890,144785
154093,314723
115011,371202
125026,332645
124145,51747
100157,190093
142994,23146
182484,279878
97620,108929
124427,210272
75074,12298
123284,216369
152124,378162
39181,298131
54862,147157
156892,81162
13228,194391
156544,50907
130549,182140
197900,37485
93239,113080
192940,247404
23587,73222
63587,56653
114500,115152
13274,48386
43094,331411
144610,377094
31992,261705
69443,62262
118818,223100
1650,220492
104547,174741
134142,110864
98270,249271
89882,350193
81079,153069
100317,207121
470,390199
37319,223696
98524,36468
198003,11447
62107,43722
49221,349084
194512,231841
114488,58763
78385,357529
133424,281130
69016,67311
89444,305768
119802,184728
76050,341206
18331,56853
95779,135466
15414,63806
129212,380368
118809,135021
145487,176714
185282,345929
169174,251596
106868,143394
79515,104945
23390,252748
77740,354897
191499,107798
163115,371727
179013,328384
94654,267974
104328,312221
29243,392897
164513,381790
113530,222832
185285,197717
96012,239798
45725,337807
165500,246259
183716,36929
164468,199230
26279,134250
162294,94170
105887,282520
108040,125099
16766,166601
140672,82562
13651,70990
144129,181436
67937,58418
80087,156105
61094,175827
55462,101937
76521,178490
59194,302766
180299,232658
131836,248245
135123,63094
7870,179261
190705,168105
157761,164049
25644,11966
197796,222412
137285,163955
8280,95096
136758,146748
55403,341262
48490,83774
6107,76863
177379,240502
64010,173562
99341,385177
132534,163128
70667,35505
133512,286464
1876,262265
21729,362280
103943,173908
43506,11699
158985,86746
178161,17497
192059,297818
171424,320300
107531,97482
37964,153679
88826,314435
175130,63524
124980,222591
16028,5029
16546,260184
169147,118395
158511,313039
65502,282856
104327,376687
37440,382826
91420,302428
162679,161951
116716,326787
194331,373036
81425,391739
156593,181051
51604,149388
189486,128615
118817,78752
97125,367002
141809,306904
123385,118529
90331,273072
34749,67530
74146,126265
189839,62800
148974,127180
61943,145662
145472,11140
105662,197315
45199,258287
173653,80669
85516,378524
195214,267642
115867,171922
90086,373561
139376,54662
116024,57252
36070,368188
190323,50616
115722,82322
104658,137467
194005,97044
49044,60048
1597,255569
160849,300764
154339,251217
4062,214320
121311,346714
77533,7959
64280,322016
141740,69140
170879,87128
108764,227653
1195,73984
67684,361902
152553,234367
74086,335684
96085,395543
8219,235929
41859,277055
111147,374839
46525,193684
159997,101891
76498,211872
17891,221309
177431,225987
14916,40435
29868,385999
172017,357320
157779,100267
40924,246980
111502,323983
157028,111628
3049,324315
115755,1555
79841,16351
123476,2450
113715,55984
2718,225711
13021,116463
105836,27528
194989,34248
78918,363809
27367,302276
41704,145307
180546,25644
82946,191011
60827,365585
180538,293886
101608,148536
94798,52690
137476,112577
195967,309650
60581,66542
192355,291331
54215,261431
130529,233224
62081,119374
36272,303346
56653,385131
189543,362650
1699,341900
41200,144012
174675,258731
167779,246711
6723,14303
100106,9503
181039,345447
106969,185318
143270,285985
144624,339235
124129,238558
135144,66178
2577,180209
52206,376859
162212,53198
6768,67245
179776,119211
62014,98948
96000,7064
144645,245160
26199,226665
99776,379115
122380,306347
141486,249422
154823,60472
43358,48574
118674,285521
171245,99837
193614,299288
156184,204008
18603,270223
18206,19606
137402,306055
180697,138045
125472,122963
69837,74805
87609,14825
156732,385974
179861,107849
44226,325205
132998,86382
192252,180101
73395,87836
168131,41926
52220,320423
164872,169825
82575,11733
72919,343173
62926,341968
172076,100531
163871,259052
29392,127172
56638,196127
82410,129520
165352,279161
115978,29865
178739,35752
89973,181957
66302,311962
120763,260185
95572,58102
30982,60
10386,145597
120131,355422
2217,211065
84025,111568
182057,279380
104596,181723
176774,370833
173622,2072
152517,162770
187954,298947
32515,239074
43833,228676
82916,46519
24414,72783
2206,24279
8878,88967
62449,293708
45891,196469
53820,373474
13546,378499
91653,372248
150392,79349
103453,186197
47436,301086
106033,155377
20396,376137
41854,180470
174168,174542
92169,301467
127810,27970
32604,268279
74264,138093
178614,218592
145590,189504
97422,155007
119345,216856
159801,203761
7656,287571
64145,283971
182209,238284
17786,357819
189740,158958
8768,303931
40172,233910
129738,164592
131847,127263
47014,167997
195227,177327
158115,49433
79555,54428
55603,25361
37416,297004
147559,148167
129917,59013
147551,151803
102024,272225
75603,85400
113326,8011
164647,384095
15047,19949
155727,125672
28721,65869
45814,181797
116947,138233
170098,110152
87059,198959
120701,188309
36664,151649
101411,156429
131426,28184
102548,48312
75121,295189
41980,106564
63711,306104
173991,111115
44299,328809
186320,163744
146964,178004
124635,141136
41614,233458
16972,153613
39961,254939
47943,225126
199437,172623
139020,77360
175564,164404
52781,38053
140228,372604
41825,214742
43121,105652
37030,239371
158438,13011
86568,218874
180482,43005
62376,204032
27437,249994
192676,259930
12692,127518
180218,129957
119635,348337
134017,50192
57236,114315
163222,306591
88754,292096
95669,185470
87489,26697
48852,108996
186419,162014
76350,88076
43512,275237
56495,32690
177094,382629
54731,208185
66166,47773
167086,340801
39115,102175
102067,8049
194849,358671
46779,130228
37903,357882
151607,72093
11853,373686
179442,71234
129386,164866
68335,233371
199426,32576
135795,122335
188911,59335
175267,107074
62442,396684
15082,74741
100794,343217
117295,255411
182211,349950
53379,219658
198241,164438
148062,38081
91503,267802
28998,325023
61304,46148
12386,334859
133080,147388
192474,316282
153952,73031
123398,14833
186464,209987
145778,96879
13811,308532
22458,240471
31503,330744
32006,357339
92839,342231
615,69774
